time,trajectories1,trajectories2
42.133,586.178,547.938
42.200,440.587,538.005
42.266,403.662,550.114
42.333,467.233,616.243
42.400,455.809,687.667
42.466,428.238,745.145
42.533,377.960,734.676
42.600,505.632,811.388
42.666,560.673,847.151
42.733,618.405,967.689
42.800,663.953,1036.200
42.866,753.447,979.391
42.933,761.874,956.542
43.000,761.306,946.059
43.066,823.246,931.774
43.133,835.448,942.645
43.200,868.086,952.132
43.266,888.591,926.148
43.333,914.886,943.004
43.400,921.385,1040.917
43.466,910.135,1134.758
43.533,906.514,1212.037
43.600,889.418,1377.509
43.666,895.008,1506.290
43.733,742.528,1623.975
43.800,506.413,1605.563
43.866,454.522,1640.628
43.933,443.000,1694.559
44.000,495.507,1652.783
44.066,620.729,1748.228
44.133,672.581,1739.481
44.200,796.404,1730.032
44.266,929.544,1805.872
44.333,995.885,1794.443
44.400,1160.807,1874.194
44.466,1169.249,1930.163
44.533,1086.475,1844.866
44.600,957.031,1792.496
44.666,888.064,1820.055
44.733,913.351,1710.007
44.800,874.354,1575.453
44.866,720.539,1484.595
44.933,575.944,1495.883
45.000,478.736,1602.701
45.066,487.911,1753.113
45.133,627.210,1846.749
45.200,684.740,1901.463
45.266,746.472,1898.205
45.333,809.797,1908.725
45.400,921.045,1979.045
45.466,986.424,1837.671
45.533,1114.222,1789.174
45.600,1227.034,1852.761
45.666,1333.047,1734.478
45.733,1468.849,1762.301
45.800,1583.229,1653.662
45.866,1702.240,1655.549
45.933,1791.488,1553.135
46.000,1792.238,1390.526
46.066,1890.797,1204.628
46.133,1832.241,1183.011
46.200,1728.195,1138.407
46.266,1591.224,1056.179
46.333,1427.270,858.442
46.400,1288.223,700.896
46.466,1032.173,529.428
46.533,590.546,472.172
46.600,551.219,434.191
46.666,518.778,421.945
46.733,523.267,500.996
46.800,519.605,602.758
46.866,527.956,728.492
46.933,557.404,834.517
47.000,587.280,925.152
47.066,575.255,1033.168
47.133,494.115,1106.078
47.200,399.533,1189.471
47.266,337.375,1339.858
47.333,363.897,1372.504
47.400,472.606,1453.935
47.466,556.998,1593.909
47.533,783.419,1653.020
47.600,1025.586,1776.031
47.666,1145.735,1891.346
47.733,1213.000,1835.221
47.800,1205.518,1746.921
47.866,1378.412,1702.080
47.933,1435.795,1698.802
48.000,1522.409,1578.355
48.066,1622.121,1552.047
48.133,1590.532,1411.663
48.200,1545.874,1289.433
48.266,1526.862,1184.836
48.333,1522.695,1071.703
48.400,1652.244,937.732
48.466,1753.183,922.630
48.533,1811.231,1069.686
48.600,1874.428,1223.330
48.666,1924.667,1260.753
48.733,1844.863,1178.555
48.800,1718.651,1129.080
48.866,1507.150,1196.079
48.933,1286.440,1308.773
49.000,1151.025,1332.391
49.066,929.623,1187.176
49.133,759.353,1106.422
49.200,624.984,1088.776
49.266,474.301,1087.672
49.333,358.477,1129.537
49.400,352.395,1068.036
49.466,304.427,947.686
49.533,206.786,922.625
49.600,289.308,967.497
49.666,415.286,1050.867
49.733,480.387,1151.738
49.800,566.686,1203.108
49.866,687.261,1227.013
49.933,797.516,1324.898
49.999,851.074,1397.422
50.066,929.877,1530.597
50.133,921.376,1661.382
50.199,844.539,1736.213
50.266,888.711,1803.646
50.333,919.763,1756.868
50.399,886.200,1665.683
50.466,702.177,1650.754
50.533,543.100,1637.328
50.599,474.085,1653.157
50.666,451.899,1599.338
50.733,436.523,1544.581
50.799,330.597,1443.081
