time,trajectories1,trajectories2
46.000,1902.906,1419.680
46.066,1910.044,1395.745
46.133,1924.069,1356.813
46.200,1933.569,1329.218
46.266,1941.686,1330.895
46.333,1955.967,1261.735
46.400,1948.912,1198.788
46.466,1975.489,1191.596
46.533,1974.877,1141.488
46.600,1958.925,1084.144
46.666,1979.137,1094.069
46.733,1979.766,1105.375
46.800,1982.846,1103.014
46.866,1981.987,1096.995
46.933,1979.712,1065.455
47.000,1987.096,1058.702
47.066,1985.715,1055.842
47.133,1972.399,1072.878
47.200,1927.139,1132.629
47.266,1873.683,1192.843
47.333,1813.662,1254.415
47.400,1791.491,1328.643
47.466,1846.784,1389.022
47.533,1858.767,1409.410
47.600,1920.556,1384.941
47.666,1925.032,1326.248
47.733,1948.648,1273.494
47.800,1957.710,1270.518
47.866,1961.742,1269.443
47.933,1967.593,1218.526
48.000,1978.091,1184.960
48.066,1925.582,1127.364
48.133,1922.381,1051.114
48.200,1861.615,953.105
48.266,1773.969,888.570
48.333,1633.954,932.924
48.400,1588.089,1065.791
48.466,1579.405,1193.283
48.533,1620.453,1301.610
48.600,1690.074,1396.656
48.666,1782.229,1483.799
48.733,1818.093,1528.151
48.800,1851.173,1477.954
48.866,1855.146,1482.594
48.933,1872.970,1405.728
49.000,1914.820,1397.603
49.066,1930.983,1352.442
49.133,1930.659,1275.121
49.200,1835.676,1168.066
49.266,1797.305,1088.583
49.333,1874.231,1030.215
49.400,1935.886,1021.086
49.466,1965.812,1023.336
49.533,1986.757,1020.628
49.600,1988.085,1003.505
49.666,1992.786,990.345
49.733,1888.187,904.496
49.800,1742.439,905.366
49.866,1627.904,941.903
49.933,1574.144,1024.773
49.999,1582.204,1110.079
50.066,1645.733,1149.211
50.133,1719.929,1270.338
50.199,1826.169,1331.744
50.266,1863.836,1408.430
50.333,1882.199,1396.388
50.399,1926.529,1340.836
50.466,1928.266,1340.922
50.533,1929.341,1339.211
50.599,1937.091,1242.041
50.666,1867.650,1165.785
50.733,1768.086,1105.473
50.799,1768.063,1033.276
50.866,1670.550,935.699
50.933,1614.951,854.422
50.999,1560.321,727.337
51.066,1561.122,595.891
51.133,1618.260,481.738
51.199,1677.304,435.147
51.266,1709.244,413.338
51.333,1749.466,385.427
51.399,1749.977,388.028
51.466,1734.399,465.889
51.533,1775.119,494.628
51.599,1811.040,520.820
51.666,1763.911,466.520
51.733,1774.052,448.399
51.799,1727.976,410.495
51.866,1589.095,412.788
51.933,1495.044,426.735
51.999,1351.703,370.992
52.066,1268.070,265.105
52.133,1235.430,196.982
52.199,1241.036,150.666
52.266,1249.493,137.777
52.333,1259.618,131.417
52.399,1284.210,139.140
52.466,1305.496,151.162
52.533,1315.594,210.307
52.599,1377.236,322.393
52.666,1437.808,331.408
52.733,1539.767,300.379
52.799,1591.423,252.974
52.866,1547.954,246.262
52.933,1537.677,246.882
52.999,1442.421,264.246
53.066,1350.004,237.156
53.133,1263.654,193.587
53.199,1196.520,121.964
53.266,1197.799,127.328
53.333,1296.115,109.256
53.399,1341.890,184.778
53.466,1421.408,146.971
53.533,1469.286,191.459
53.599,1494.177,216.229
53.666,1537.120,331.534
53.733,1584.789,404.307
53.799,1633.223,430.273
53.866,1724.039,435.176
53.933,1811.527,491.153
53.999,1835.590,555.125
54.066,1885.854,648.542
54.133,1945.834,821.657
54.199,1897.184,885.409
54.266,1916.393,949.962
54.333,1939.189,944.024
54.399,1951.148,951.795
54.466,1930.539,1040.290
54.533,2000.932,1082.368
54.599,1969.137,1192.699
54.666,1915.119,1249.688
54.733,1925.732,1301.288
54.799,1880.636,1327.929
54.866,1784.278,1400.488
54.933,1706.432,1495.339
54.999,1664.482,1577.041
55.066,1614.419,1678.161
55.133,1581.550,1773.973
55.199,1509.317,1877.824
55.266,1406.781,1919.681
55.333,1305.059,1948.438
55.399,1201.600,1968.792
55.466,1064.075,2008.895
55.533,973.522,2002.549
55.599,910.348,1981.323
55.666,815.620,1977.700
55.733,717.864,1930.361
55.799,608.456,1901.922
55.866,558.480,1841.059
55.933,431.883,1782.708
55.999,379.699,1751.089
56.066,372.594,1722.533
56.133,324.292,1686.747
56.199,293.505,1648.732
56.266,244.780,1574.465
56.333,187.113,1504.813
56.399,158.501,1454.671
56.466,135.323,1417.051
56.533,126.309,1400.859
56.599,157.447,1464.826
56.666,206.529,1506.165
56.733,198.663,1522.790
56.799,195.857,1519.279
56.866,196.379,1526.245
56.933,295.071,1553.921
56.999,406.362,1566.020
57.066,509.243,1645.280
57.133,561.417,1706.041
57.199,614.581,1805.040
57.266,613.448,1864.157
57.333,598.628,1898.401
57.399,658.248,1914.678
57.466,754.054,1935.183
57.533,753.066,1973.568
57.599,811.339,1971.630
57.666,834.382,1991.456
57.733,923.737,1980.535
57.799,929.938,1993.791
57.866,995.652,1903.855
57.933,1105.386,1834.019
57.999,1122.650,1897.215
58.066,1163.763,1941.466
58.133,1237.879,1979.007
58.199,1246.184,1979.948
58.266,1289.642,1939.773
58.333,1341.744,1878.479
58.399,1417.216,1863.419
58.466,1489.659,1838.182
58.533,1522.484,1869.753
58.599,1592.575,1814.720
58.666,1615.139,1740.757
58.733,1652.990,1644.416
58.799,1541.100,1587.718
58.866,1462.067,1571.794
58.933,1358.227,1585.625
58.999,1246.946,1618.946
59.066,1139.373,1693.365
59.133,1048.777,1765.913
59.199,1052.064,1802.956
59.266,1016.397,1887.084
59.333,1000.907,1942.128
59.399,1001.190,1964.073
59.466,1002.526,1983.051
59.533,1048.272,1996.771
59.599,1093.398,2004.930
59.666,1161.288,1967.487
59.733,1224.549,1940.365
59.799,1302.234,1972.296
59.866,1379.056,1893.685
